epoch,train_loss,train_acc,val_loss,val_acc
0,1.6418610228974995,0.30490196078431375,0.953504199784791,0.6611111111111111
1,0.8858993641632167,0.6852941176470588,0.9228273872162437,0.8055555555555556
2,0.6326707925128742,0.8450980392156863,0.2162554970985605,0.9555555555555556
3,0.5708379089336756,0.8549019607843137,0.5207230436330949,0.9722222222222222
4,0.4056436718823081,0.9107843137254902,0.6627543674736642,0.9722222222222222
5,0.46035070189694083,0.9088235294117647,1.8829955074729186,0.9777777777777777
6,0.5586953081669519,0.9235294117647059,1.1248304656446433,0.9833333333333333
7,0.3241499828231304,0.9235294117647059,0.4723212980374278,0.9777777777777777
8,0.2942546873099024,0.9284313725490196,0.7761923093762663,0.9777777777777777
9,0.23691515458602797,0.9274509803921569,1.114868568090929,0.9777777777777777
10,0.22823691670052415,0.9343137254901961,2.495779807679355,0.9777777777777777
11,0.2631206059679101,0.9274509803921569,2.3692993078794746,0.9833333333333333
12,0.35724153876176423,0.9362745098039216,3.272500446273221,0.9777777777777777
13,0.6887095102175922,0.9196078431372549,4.746927958555696,0.9833333333333333
14,0.33025399403203093,0.9294117647058824,4.607564783096313,0.9666666666666667
15,0.24650332799509944,0.9186274509803921,5.478084223386314,0.9666666666666667
16,0.8048133534897528,0.9235294117647059,1.863974412305591,0.9722222222222222
17,0.3319999586042013,0.9490196078431372,0.417630318679019,0.9722222222222222
18,0.5297377769770903,0.9294117647058824,2.899296678519911,0.9777777777777777
19,0.2041959711261233,0.9284313725490196,3.0422592687847403,0.9722222222222222
20,0.6892673222212466,0.9264705882352942,2.7677143254146204,0.9777777777777777
21,0.42231959874222835,0.9294117647058824,2.9140435288763706,0.9777777777777777
22,0.3188898417276182,0.9196078431372549,4.268732522262467,0.9777777777777777
23,0.37421537447631154,0.9333333333333333,1.7232353534135554,0.9777777777777777
24,0.19232441637580386,0.9264705882352942,4.4610574728912775,0.9722222222222222
25,0.20246752614766883,0.9235294117647059,2.626110498607159,0.9722222222222222
26,0.1810319277607977,0.9352941176470588,2.4662635122736294,0.9722222222222222
27,0.21076591435577904,0.9264705882352942,5.33279857594106,0.9722222222222222
28,0.2888853308269937,0.9343137254901961,4.6589014109638,0.9722222222222222
29,0.1896676563798132,0.9362745098039216,3.2297519535654122,0.9777777777777777
30,0.30972304023510056,0.9372549019607843,2.339136353880167,0.9777777777777777
31,0.1612453570333738,0.9372549019607843,2.354231918354829,0.9777777777777777
32,0.15667890178004842,0.942156862745098,2.6062703129318026,0.9777777777777777
33,0.20692128146834232,0.9294117647058824,2.6170031633641986,0.9777777777777777
34,0.1911611154529394,0.9284313725490196,2.6454741292529635,0.9777777777777777
35,0.1742004956392422,0.9323529411764706,6.475219251381026,0.9777777777777777
36,0.3604439114016696,0.9441176470588235,1.9999227250615756,0.9777777777777777
37,0.20211732941290714,0.9392156862745098,2.2120868942448095,0.9777777777777777
38,0.24702759097745694,0.9274509803921569,2.4542244342466195,0.9722222222222222
39,0.32461019551344533,0.9343137254901961,2.3624121061629717,0.9666666666666667
40,0.24248471867460128,0.9205882352941176,2.146005440989231,0.9777777777777777
41,0.185272110140228,0.9372549019607843,2.503718464821566,0.9777777777777777
42,0.1658096127321615,0.9411764705882353,3.0377858005878,0.9777777777777777
43,0.1757316434975002,0.9431372549019608,3.6853500754468973,0.9777777777777777
44,0.1940081648999373,0.9470588235294117,3.1284629866480826,0.9777777777777777
45,0.2070225859097406,0.9333333333333333,2.271204560746749,0.9722222222222222
46,0.2882215791911266,0.9323529411764706,2.5826947926647135,0.9777777777777777
